!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
絹	z yuan
綁	b ang
綁    b ak
綃	s iau
綏	s uei
經	z ing
經典	z ing d ien
經常	z ing ch ang
經常    b ut s i
經常    d iann d iann
經常    s i s iong
經歷	z ing l i
經濟	z ing z i
經濟    g ing z e
經營	z ing ing
經理	z ing l i
經由	z ing iou
經紀	z ing z i
經費	z ing f ei
經過	z ing g uo
經過    g ing g ue
經驗	z ing ien
綜	z ong
綜合	z ong h er
綠	l yu
綠    c enn
綠燈    c enn d ing
綠綠的    c enn c enn
綠色	l yu s er
綢	ch ou
綣	c yuan
綦	c i
綬	sh ou
維	uei
維修	uei s iou
維持	uei ch ii
維生素	uei sh ng s u
維護	uei h u
綰	uan
綱	g ang
網	uang
網    bh ang
網    bh ang  a
網友	uang iou
網址	uang zh ii
網站	uang zh an
網絡	uang l uo
網路	uang l u
網際	uang z i
網頁	uang ie
綴	zh uei
綵	c ai
綸	l un
綺	c i
綻	zh an
綽	ch uo
綾	l ing
綿	m ien
緊	z in
緊張	z in zh ang
緊張    g in d iunn
緊急	z in z i
緊急    g in g ip
緋	f ei
緒	s yu
緗	s iang
緘	z ien
線	s ien
線    s uann
線    s un
線上	s ien sh ang
緝	c i
緞	d uan
締	d i
緡	m in
緣	yuan
緣份     en h un
編	b ien
編號	b ien h au
編輯	b ien z i
緩	h uan
緬	m ien
緯	uei
緲	m iau
練	l ien
練    l en
練習	l ien s i
練習    l en
練習    l en s ip
緹	t i
緻	zh ii
縈	ing
縉	z in
縊	i
縐	zh ou
縛	f u
縝	zh ern
縟	rh u
縣	s ien
縫	f ng
縫    t inn
縮	s uo
縱	z ong
縲	l ei
縴	c ien
縵	m an
縷	l yu
縹	p iau
縻	m i
總	z ong
總    z ong
總之	z ong zh ii
總共	z ong g ong
總共    l ong z ong
總是	z ong sh ii
總是    z ong s i
總會	z ong h uei
總統	z ong t ong
總統    z ong t ong
總經理	z ong z ing l i
總部	z ong b u
績	z i
繁	f an
繁華    h uan h ua
繁體	f an t i
繃	b ng
繅	s au
繆	m iou
繆	m ou
繇	iou
繒	z ng
織	zh ii
繕	sh an
繖	s an
繚	l iau
繞	rh au
繞    s eh
繡	s iou
繩	sh ng
繩子    s orh  a
繪	h uei
繫	s i
繭	z ien
繳	z iau
繹	i
繼	z i
繼續	z i s yu
繼續    g e s iok
繽	b in
繾	c ien
纂	z uan
纈	s ie
續	s yu
續    s ua
纍	l ei
纏	ch an
纓	ing
纔	c ai
纔    c im
纖	s ien
纖維	s ien uei
纜	l an
缸	g ang
缺	c yue
缺乏	c yue f a
缺點	c yue d ien
缽	b uo
罄	c ing
罅	s ia
罈	t an
罌	ing
罐	g uan
罐    g uan
罔	uang
罕	h an
罘	f u
罝	z yu
罟	g u
罡	g ang
罣	g ua
罣礙    g ua gh ai
罩	zh au
罪	z uei
罪    z ue
置	zh ii
罰	f a
署	sh u
罵	m a
罵    m a
罵    m e
罷	b a
罹	l i
罽	z i
羅	l uo
羅馬	l uo m a
羈	z i
羊	iang
羊     iunn  a
羌	c iang
美	m ei
美人	m ei rh ern
美元	m ei yuan
美味	m ei uei
美國	m ei g uo
美國    bh i g ok
美女	m ei n yu
美好	m ei h au
美好     iu bh i
美容	m ei rh ong
美景	m ei z ing
美術	m ei sh u
美食	m ei sh ii
美麗	m ei l i
美麗    bh i l e
美麗    s ui
美麗    s ui d ang d ang
羑	iou
羔	g au
羚	l ing
羞	s iou
羞    c iu
羡慕    h im s en
群	c yun
羥	c iang
羧	z uei
羨	s ien
義	i
義務	i u
羯	z ie
羰	t an
羲	s i
羶	sh an
羸	l ei
羹	g ng
羼	ch an
羽	yu
羿	i
翀	ch ong
翁	ung
翁     ang
翅	ch ii
翊	i
翌	i
翎	l ing
習	s i
習慣	s i g uan
習慣    g uan s i
翔	s iang
翕	s i
翟	d i
翟	zh ai
翠	c uei
翡	f ei
翥	zh u
翦	z ien
翩	p ien
翰	h an
翱	au
翳	i
翹	c iau
翻	f an
翻    b ing
翻    h en
翻譯	f an i
翼	i
耀	iau
老	l au
老    l au
老人	l au rh ern
老人    l au h ue  a
老人    l au l ang
老公	l au g ong
老公     ang s ai
老大    l au d ua
老天爺    t inn g ong b eh  a
老婆	l au p uo
老婆    bh o
老婆    z a bh o l ang
老實	l au sh ii
老實    g o  i
老實    l au s it
老師	l au sh ii
老師    l au s u
老年人    l au d ua l ang
老板    l au b an
老爺    l au  ia
老闆	l au b an
老闆    l au b an
老闆    t au g e
老闆娘    t au g e n iu
老鷹    bh a h iorh
老鼠    n iau c i
考	k au
考    k or
考慮	k au l yu
考慮    gh en g iu
考試	k au sh ii
考試    k or c i
考量	k au l iang
考驗	k au ien
耄	m au
者	zh er
者    z ia
耆	c i
耋	d ie
而	err
而    r i
而且	err c ie
而且    r i c iann
而已	err i
而已    n ia n ia
而是	err sh ii
而言	err ien
耍	sh ua
耐	n ai
耐心	n ai s in
耒	l ei
耕	g ng
耕作    z ing z orh
耗	h au
耘	yun
耙	p a
耦	ou
耨	n ou
耬	l ou
耳	err
耳    h inn
耳朵	err d uo
耳朵    h inn
耳朵    h inn  a
耳朵    h inn k ang
耵	t ing
耶	ie
耶和華	ie h er h ua
耶穌	ie s u
耷	d a
耽	d an
耿	g ng
聆	l ing
聊	l iau
聊天	l iau t ien
聊天    k ai g ang
聊天室	l iau t ien sh ii
聒	g ua
聖	sh ng
聖經	sh ng z ing
聖誕	sh ng d an
聘	p in
聚	z yu
聚會	z yu h uei
聞	un
聞    p inn
聯	l ien
聯合	l ien h er
聯合國	l ien h er g uo
聯盟	l ien m ng
聯絡	l ien l uo
聯絡    l en l ok
聯繫	l ien s i
聯邦	l ien b ang
聰	c ong
聰明	c ong m ing
聰明    d i h ui
聰明    k iau
聲	sh ng
聲    s iann
聲明	sh ng m ing
聲音	sh ng in
聲音    s iann  im
聳	s ong
聵	k uei
聶	n ie
職	zh ii
職務	zh ii u
職業	zh ii ie
職業    t au l o
聹	n ing
聽	t ing
聽    t iann
聽到	t ing d au
聽到    t iann d iorh
聽眾    t iann z iong
聽見	t ing z ien
聽見    t iann d iorh
聽說	t ing sh uo
聽說    t iann g ong
聾	l ong
聿	yu
肄	i
肅	s u
肆	s ii
肇	zh au
肉	rh ou
肉    bh ah
肉粽    bh ah z ang
肉體    bh ah t e
肋	l er
肌	z i
肌肉	z i rh ou
肌膚	z i f u
肏	c au
肓	h uang
肖	s iau
肘	zh ou
肚	d u
肚子	d u z ii
肚子    b ak d o
肚臍    d o z ai
肛	g ang
肜	rh ong
肝	g an
股	g u
股份	g u f ern
股市	g u sh ii
股票	g u p iau
肢	zh ii
肥	f ei
肥    b ui
肩	z ien
肩膀    g ing t au
肪	f ang
肯	k ern
肯定	k ern d ing
肱	g ong
育	yu
肺	f ei
胂	sh ern
胃	uei
背	b ei
背     ainn
背    p ainn
背後	b ei h ou
背景	b ei z ing
胎	t ai
胖	p ang
胖    b ui
胖    d ua k o
胗	zh ern
胚	p ei
胛	z ia
胜	sh ng
胝	zh ii
胞	b au
胡	h u
胡    g au
胤	in
胥	s yu
胭	ien
胯	k ua
胰	i
胱	g uang
胳	g er
胴	d ong
胸	s iong
胸膛    h ing k am
胺	an
胼	p ien
能	n ng
能     e
能    l ing
能力	n ng l i
能力    l ik l iong
能力    l ing
能力    z ai d iau
能否	n ng f ou
能否	n ng p i
能夠	n ng g ou
能夠     e d ang
能夠     e s ai
能源	n ng yuan
能量	n ng l iang
脂	zh ii
脂肪	zh ii f ang
脅	s ie
脆	c uei
脈	m ai
脈	m uo
脊	z i
脖	b uo
脘	g uan
脘	uan
脛	z ing
脢	m ei
脤	sh ern
脩	s iou
脫	t uo
脫離	t uo l i
脯	f u
脰	d ou
脹	zh ang
脾	p i
腆	t ien
腋	ie
腌	ang
腍	rh ern
腎	sh ern
腐	f u
腑	f u
腓	f ei
腔	c iang
腕	uan
腠	c ou
腥	s ing
腦	n au
腦袋	n au d ai
腦袋    t au k ak
腧	sh u
腩	n an
腫	zh ong
腮	s ai
腮    c ui p ue
腰	iau
腱	z ien
腳	z iau
腳    k a
腳步	z iau b u
腳步    k a b o
腴	yu
腸	ch ang
腹	f u
腺	s ien
腿	t uei
膀	b ang
膈	g er
膊	b uo
膏	g au
膏    g or
膘	b iau
膚	f u
膛	t ang
膜	m uo
膝	s i
膝蓋    k a t au  u
膠	z iau
膣	zh ii
膦	l ien
膨	p ng
膩	n i
膫	l iau
膳	sh an
膺	ing
膻	sh an
膽	d an
膾	k uai
膿	n ong
臀	t un
臂	b i
臃	iong
臆	i
臉	l ien
臉    bh in
臉上	l ien sh ang
臉盆    bh in t ang
臊	s au
臌	g u
臍	c i
臏	b in
臘	l a
臚	l u
臟	z ang
臠	l uan
臣	ch ern
臥	uo
臧	z ang
臨	l in
臨床	l in ch uang
臨時	l in sh ii
自	z ii
自    z u
自信	z ii s in
自助	z ii zh u
自動	z ii d ong
自在	z ii z ai
自在    z u z ai
自己	z ii z i
自己    g a g i
自從	z ii c ong
自從    z u z iong
自我	z ii uo
自殺	z ii sh a
自然	z ii rh an
自然    t en r en
自然    z u r en
自由	z ii iou
自由    z u  iu
自行	z ii s ing
自行車	z ii s ing ch er
自行車    k a d ah c ia
自行車    t ih bh e
自身	z ii sh ern
臬	n ie
臭	ch ou
臭    c au
至	zh ii
至今	zh ii z in
至今    g au d ann
至少	zh ii sh au
至於	zh ii yu
致	zh ii
致力	zh ii l i
臺灣    d ai  uan
臺灣人    d ai  uan l ang
臺語    d ai gh i
臻	zh ern
臼	z iou
臾	yu
舀	iau
舂	ch ong
舂    z ing
舅	z iou
舅舅     a g u
與	yu
與    h am
與其	yu c i
興	s ing
興奮	s ing f ern
興建	s ing z ien
興趣	s ing c yu
興趣    c u bh i
舉	z yu
舉行	z yu s ing
舉辦	z yu b an
舉辦    g i b an
舊	z iou
舊    g u
舋	s in
舌	sh er
舍	sh er
舐	sh ii
舒	sh u
舒服	sh u f u
舒服    h or s e
舒服    k uinn  uah
舒適	sh u sh ii
舒適    h or s e
舔	t ien
舖	p u
舛	ch uan
舜	sh un
舞	u
舞    bh u
舞台	u t ai
舞蹈	u d au
舟	zh ou
舢	sh an
舨	b an
航	h ang
航空	h ang k ong
舫	f ang
般	b an
舯	zh ong
舲	l ing
舵	d uo
舶	b uo
舷	s ien
舸	g er
船	ch uan
船    z un
船隻    z un z iah
舺	z ia
艇	t ing
艉	uei
艋	m ng
艏	sh ou
艘	s au
艙	c ang
艦	z ien
艮	g ern
良	l iang
良好	l iang h au
良心    l iong s im
艱	z ien
色	s er
色    s ik
色彩	s er c ai
色情	s er c ing
艷	ien
艸	c au
艾	ai
芃	p ng
芊	c ien
芋	yu
芍	sh au
芎	c iong
芑	c i
芒	m ang
芙	f u
芝	zh ii
芡	c ien
芥	z ie
芥菜    g ua c ai
芨	z i
芩	c in
芫	yuan
芬	f ern
芭	b a
芮	rh uei
芯	s in
花	h ua
花    h ue
花園	h ua yuan
花園    h ue h ng
花枝    h ue g i
花蓮	h ua l ien
花蓮    h ua l en
花蕊    h ue l ui
芳	f ang
芳    p ang
芴	h u
芷	zh ii
芸	yun
芹	c in
芻	ch u
芽	ia
芾	f ei
芾	f u
苑	yuan
苒	rh an
苓	l ing
苔	t ai
苕	t iau
苖	d i
苗	m iau
苗栗	m iau l i
苛	k er
苜	m u
苞	b au
苟	g ou
苡	i
苣	z yu
若	rh uo
若    n a
若    r iok
若    r u
若是	rh uo sh ii
苦	k u
苦    k o
苦瓜    k o g ue
苦瓜封    k o g ue h ong
苧	zh u
苫	sh an
苯	b ern
英	ing
英俊     en d au
英國	ing g uo
英文	ing un
英語	ing yu
英語     ing gh i
英雄	ing s iong
英雄     ing h iong
苳	d ong
苴	z yu
苻	f u
苾	b i
茁	zh uo
茂	m au
范	f an
茄	c ie
茅	m au
茉	m uo
茍	z i
茗	m ing
茛	g ern
茜	c ien
茨	c ii
茫	m ang
茫茫    bh ong bh ong
茬	ch ii
茭	z iau
茯	f u
茱	zh u
茲	z ii
茴	h uei
茵	in
茶	ch a
茶    d e
茸	rh ong
茹	rh u
茼	t ong
荀	s yun
荃	c yuan
荇	s ing
草	c au
草    c au
草    c au  a
草莓	c au m ei
荊	z ing
荏	rh ern
荑	t i
荒	h uang
荔	l i
荖	l au
荳	d ou
荷	h er
荷蘭	h er l an
荸	b i
荻	d i
荼	t u
莉	l i
莊	zh uang
莊    z ng
莎	s uo
莎	sh a
莒	z yu
莓	m ei
莖	z ing
莘	sh ern
莞	g uan
莞	uan
莠	iou
莢	z ia
莧	s ien
莨	l ang
莨	l iang
莪	er
莫	m uo
莽	m ang
莿	c ii
菁	z ing
菅	z ien
菇	g u
菊	z yu
菌	z yun
菖	ch ang
菘	s ong
菜	c ai
菜    c ai
菜市    c ai c i
菜市場    c ai c i  a
菜脯    c ai b o
菟	t u
菠	b uo
菡	h an
菩	p u
菩薩	p u s a
菩薩    p o s at
菩薩娘娘    p o s at n iu n iu
華	h ua
華人	h ua rh ern
華語    h ua gh i
華麗	h ua l i
菰	g u
菱	l ing
菲	f ei
菲律賓	f ei l yu b in
菸	ien
菸    h un
萁	c i
萃	c uei
萄	t au
萊	l ai
萋	c i
萌	m ng
萍	p ing
萎	uei
萩	c iou
萬	uan
萬    bh an
萬歲    bh an s ue
萬萬歲    bh an bh an s ue
萱	s yuan
萵	uo
萸	yu
萼	er
落	l uo
落    l ak
落    l orh
落實	l uo sh ii
葆	b au
葉	ie
葉     iap
葉    h iorh
葉子    h iorh  a
葑	f ng
葒	h ong
著	zh er
著	zh u
著作	zh u z uo
著名	zh u m ing
著名    c ut m ia
葚	sh ern
葛	g er
葡	p u
董	d ong
董事	d ong sh ii
董事長	d ong sh ii zh ang
葦	uei
葩	p a
葫	h u
葬	z ang
葭	z ia
葳	uei
葵	k uei
葶	t ing
葷	h un
葸	s i
葺	c i
蒂	d i
蒐	s ou
蒔	sh ii
蒗	l ang
蒙	m ng
蒜	s uan
蒞	l i
蒟	z yu
蒡	b ang
蒨	c ien
蒯	k uai
蒲	p u
蒴	sh uo
蒸	zh ng
蒸    c ue
蒹	z ien
蒺	z i
蒻	rh uo
蒼	c ang
蒼蠅    h o s in
蒿	h au
蓀	s un
蓁	zh ern
蓄	s yu
蓉	rh ong
蓊	ung
蓋	g ai
蓋    g ai
蓍	sh ii
蓑	s uo
蓓	b ei
蓖	b i
蓧	d iau
蓬	p ng
蓮	l ien
蓯	c ong
蓳	z in
蓴	ch un
蓼	l iau
蓽	b i
蓿	s u
蔌	s u
蔑	m ie
蔓	m an
蔔	b uo
蔗	zh er
蔘	sh ern
蔚	uei
蔞	l ou
蔟	c u
蔡	c ai
蔣	z iang
蔥	c ong
蔦	n iau
蔫	n ien
蔬	sh u
蔬菜	sh u c ai
蔬菜    c enn c ai
蔭	in
蔻	k ou
蔽	b i
蕁	s yun
蕁	t an
蕃	f an
蕅	ou
蕈	s yun
蕉	z iau
蕊	rh uei
蕊    l ui
蕎	c iau
蕓	yun
蕕	iou
蕖	c yu
蕙	h uei
蕞	z uei
蕢	k uei
蕤	rh uei
蕨	z yue
蕩	d ang
蕪	u
蕭	s iau
蕷	yu
蕹	iong
蕺	z i
蕾	l ei
薀	yun
薄	b uo
薅	h au
薇	uei
薈	h uei
薊	z i
薌	s iang
薏	i
薑	z iang
薔	c iang
薙	t i
薛	s yue
薜	b i
薦	z ien
薨	h ong
薩	s a
薪	s in
薯	sh u
薰	s yun
薰    h un
薹	t ai
薺	z i
藉	z ie
藉由	z ie iou
藍	l an
藍    n a
藍色	l an s er
藍色    n a s ik
藎	z in
藏	c ang
藏    bh ih
藏    c ang
藐	m iau
藕	ou
藜	l i
藝	i
藝人	i rh ern
藝術	i sh u
藝術    gh e s ut
藝術家	i sh u z ia
藤	t ng
藥	iau
藥     iorh  a
藥房     iorh b ang
藥物	iau u
藩	f an
藪	s ou
藷	zh u
藹	ai
藺	l in
藻	z au
藿	h uo
蘄	c i
蘅	h ng
蘆	l u
蘆洲    l o z iu
蘇	s u
蘊	yun
蘋	p in
蘋果	p ing g uo
蘑	m uo
蘗	b uo
蘚	s ien
蘞	l ien
蘢	l ong
蘧	c yu
蘩	f an
蘭	l an
蘭陽    l an  iang
蘸	zh an
蘺	l i
蘼	m i
蘿	l uo
虎	h u
虎    h o
虐	n yue
虔	c ien
處	ch u
處理	ch u l i
處理    c u l i
虛	s yu
虛擬	s yu n i
虜	l u
虞	yu
號	h au
號    h or
號碼	h au m a
虢	g uo
虧	k uei
虯	c iou
虱	sh ii
虷	h an
虹	h ong
虻	m ng
蚊	un
蚋	rh uei
蚌	b ang
蚓	in
蚜	ia
蚝	c ii
蚣	g ong
蚤	z au
蚧	z ie
蚩	ch ii
蚪	d ou
蚯	c iou
蚯蚓    d o g un
蚰	iou
蚱	zh a
蚴	iou
蚵	er
蚵	k er
蚶	h an
蚺	t ien
蛀	zh u
蛄	g u
蛆	c yu
蛇	sh er
蛇    z ua
蛉	l ing
蛋	d an
蛋    n ng
蛋白	d an b ai
蛋白質	d an b ai zh ii
蛋糕	d an g au
蛐	c yu
蛔	h uei
蛙	ua
蛛	zh u
蛞	k uo
蛟	z iau
蛤	g er
蛩	c iong
蛭	zh ii
蛸	s iau
蛹	iong
蛺	z ia
蛻	sh uei
蛻	t uei
蛾	er
蜀	sh u
蜂	f ng
蜃	sh ern
蜆	s ien
蜇	zh er
蜈	u
蜉	f u
蜊	l i
蜍	ch u
蜒	ien
蜓	t ing
蜘	zh ii
蜚	f ei
蜜	m i
蜞	c i
蜡	zh a
蜢	m ng
蜥	s i
蜱	p i
蜴	i
蜷	c yuan
蜻	c ing
蜻蜓    c an  enn
蜿	uan
蝌	k er
蝓	yu
蝕	sh ii
蝗	h uang
蝙	b ien
蝚	rh ou
蝜	f u
蝟	uei
蝠	f u
蝣	iou
蝥	m au
蝦	s ia
蝴	h u
蝴蝶	h u d ie
蝴蝶     iah  a
蝶	d ie
蝸	g ua
蝻	n an
螂	l ang
螃	p ang
螄	s ii
螅	s i
螈	yuan
融	rh ong
融合	rh ong h er
螞	m a
螞蟻    g au h ia
螟	m ing
螢	ing
螢幕	ing m u
螢火蟲    h ue g im g o
螣	t er
螣	t ng
螫	zh er
螭	ch ii
螯	au
螳	t ang
螺	l uo
螻	l ou
螽	zh ong
蟀	sh uai
蟄	zh ii
蟆	m a
蟈	g uo
蟊	m au
蟋	s i
蟑	zh ang
蟒	m ang
蟠	p an
蟥	h uang
蟬	ch an
蟯	rh au
蟲	ch ong
蟲    t ang
蟳	s yun
蟶	ch ng
蟹	s ie
蟻	i
蟾	ch an
蠃	l uo
蠅	ing
蠆	ch ai
蠊	l ien
蠋	zh u
蠍	s ie
蠑	rh ong
蠓	m ng
蠔	h au
蠔     or  a
蠕	rh uan
蠖	h uo
蠟	l a
蠡	l i
蠢	ch un
蠣	l i
蠱	g u
蠲	z yuan
蠵	s i
蠶	c an
蠹	d u
蠻	m an
血	s ie
血    h ueh
血液	s ie ie
血管	s ie g uan
衄	n yu
衊	m ie
行	h ang
行	s ing
行    g iann
行    h ing
行    z ua
行動	s ing d ong
行政	s ing zh ng
行政院	s ing zh ng yuan
行李	s ing l i
行業	h ang ie
行為	s ing uei
行為    k a b o
行程	s ing ch ng
行銷	s ing s iau
衍	ien
術	sh u
衕	t ong
街	z ie
街    g e
街道	z ie d au
街頭	z ie t ou
衙	ia
衚	h u
衛	uei
衛星	uei s ing
衛生	uei sh ng
衛生     ue s ing
衛生所     ue s ing s o
衝	ch ong
衝    c iong
衝    z ong
衝擊	ch ong z i
衝突	ch ong t u
衡	h ng
衢	c yu
衣	i
衣     i
衣服	i f u
衣服    s ann
衣服    s ann  a k o
表	b iau
表哥    b iau h iann
表情	b iau c ing
表情    b iau z ing
表明	b iau m ing
表格	b iau g er
表演	b iau ien
表演    b iau  en
表演    b uann h i
表現	b iau s ien
表現    b iau h en
表示	b iau sh ii
表示    b iau s i
表達	b iau d a
表面	b iau m ien
衩	ch a
衪	i
衫	sh an
衰	sh uai
衲	n a
衷	zh ong
衹	c i
衽	rh ern
衾	c in
衿	z in
袁	yuan
袂	m ei
袈	z ia
袋	d ai
袍	p au
袒	t an
袖	s iou
袞	g un
袢	b an
袤	m au
袪	c yu
被	b ei
被    b i
被    h o
袱	f u
裁	c ai
裂	l ie
裊	n iau
裎	ch ng
裔	i
裕	yu
裘	c iou
裙	c yun
裙    g un
補	b u
補    b o
補充	b u ch ong
補助	b u zh u
補習	b u s i
裝	zh uang
裝    d e
裝    g e
裝修	zh uang s iou
裝備	zh uang b ei
裝潢	zh uang h uang
裝置	zh uang zh ii
裝飾	zh uang sh ii
裟	sh a
裡	l i
裡    l ai
裡    l i
裡面	l i m ien
裡面    l ai bh in
裡面    l ai d e
裡頭	l i t ou
裨	b i
裨	p i
裰	d uo
裱	b iau
裳	ch ang
裴	p ei
裸	l uo
裹	g uo
製	zh ii
製作	zh ii z uo
製造	zh ii z au
製造    z e z or
製造商	zh ii z au sh ang
裾	z yu
褂	g ua
複	f u
複製	f u zh ii
複雜	f u z a
褊	b ien
褌	k un
褐	h er
褒	b au
褓	b au
褔	f u
褙	b ei
褚	ch u
褡	d a
褥	rh u
褪	t un
褫	ch ii
褲	k u
褲    k o
褳	l ien
褶	zh er
褸	l yu
褻	s ie
襁	c iang
襄	s iang
襌	d an
襖	au
襝	l ien
襞	b i
襟	z in
襠	d ang
襤	l an
襦	rh u
襪	ua
襬	b ai
襯	ch ern
襲	s i
襻	p an
西	s i
西    s ai
西方	s i f ang
西班牙	s i b an ia
西瓜    s i g ue
西藏	s i z ang
要	iau
要     ai
要     iau
要    bh eh
要    d ih
要不然     ah bh or
要是	iau sh ii
要是    n a s i
要求	iau c iou
要求     iau g iu
要求    t or
覃	t an
覆	f u
覈	h er
見	z ien
見    g inn
見到	z ien d au
見證	z ien zh ng
見面	z ien m ien
見面    g inn bh in
見面    s ior g inn
規	g uei
規    g ui
規則	g uei z er
規劃	g uei h ua
規定	g uei d ing
規格	g uei g er
規模	g uei m uo
規矩    g ui g i
規範	g uei f an
覓	m i
視	sh ii
視為	sh ii uei
視窗	sh ii ch uang
視覺	sh ii z yue
視訊	sh ii s yun
視野	sh ii ie
視頻	sh ii p in
覘	zh an
覜	t iau
覦	yu
親	c in
親    c in
親切	c in c ie
親子	c in z ii
親家母    c enn  m
親愛	c in ai
親戚    c in z iann
親自	c in z ii
覬	z i
覲	z in
覷	c yu
覺	z iau
覺	z yue
覺得	z yue d er
覽	l an
覿	d i
觀	g uan
觀光	g uan g uang
觀光    g uan g ong
觀察	g uan ch a
觀念	g uan n ien
觀看	g uan k an
觀眾	g uan zh ong
觀賞	g uan sh ang
觀點	g uan d ien
角	z iau
角    g ak
角度	z iau d u
角色	z iau s er
角色	z yue s er
角落	z iau l uo
觔	z in
解	z ie
解救    g ai g iu
解決	z ie z yue
解答	z ie d a
解說	z ie sh uo
解釋	z ie sh ii
觥	g ong
觱	b i
觴	sh ang
觸	ch u
言	ien
言    gh en
言論	ien l un
訂	d ing
訂單	d ing d an
訂購	d ing g ou
訂閱	d ing yue
訃	f u
訇	h ong
計	z i
計劃	z i h ua
計畫	z i h ua
計程車    g e t ing c ia
計算	z i s uan
訊	s yun
訊息	s yun s i
訊息    s iau s it
訌	h ong
討	t au
討    t or
討厭	t au ien
討厭    t or  ia
討生活    t an z iah
討論	t au l un
討論區	t au l un c yu
訐	z ie
訓	s yun
訓練	s yun l ien
訓練    h un l en
訕	sh an
訖	c i
託	t uo
記	z i
記    g i
記得	z i d er
記得     e g i d it
記憶	z i i
記憶    g i d i
記憶體	z i i t i
記者	z i zh er
記者    g i z ia
記號    g i h or
記載	z i z ai
記錄	z i l u
訛	er
訝	ia
訟	s ong
訢	s in
訣	z yue
訥	n er
訪	f ang
訪問	f ang un
設	sh er
設    s et
設備	sh er b ei
設定	sh er d ing
設施	sh er sh ii
設有	sh er iou
設立	sh er l i
設置	sh er zh ii
設置     an
設計	sh er z i
設計師	sh er z i sh ii
許	s yu
許多	s yu d uo
訴	s u
訶	h er
診	zh ern
診所	zh ern s uo
診斷	zh ern d uan
註	zh u
註冊	zh u c er
訾	z ii
詁	g u
詆	d i
詐	zh a
詒	i
詔	zh au
評	p ing
評估	p ing g u
評價	p ing z ia
評論	p ing l un
詛	z u
詞	c ii
詞    s u
詠	iong
詡	s yu
詢	s yun
詢問	s yun un
詣	i
試	sh ii
試    c i
試圖	sh ii t u
試用	sh ii iong
試試	sh ii sh ii
試試看    c i k uann m ai
試驗	sh ii ien
詩	sh ii
詩歌    g ua s i
詫	ch a
詬	g ou
詭	g uei
詮	c yuan
詰	z ie
話	l au
話     ue
話說	h ua sh uo
話題	h ua t i
該	g ai
詳	s iang
詳情	s iang c ing
詳細	s iang s i
詳細    s iong s e
詵	sh ern
詹	zh an
詼	h uei
誅	zh u
誇	k ua
誇張	k ua zh ang
誇獎     or l or
誌	zh ii
認	rh ern
認    r in
認同	rh ern t ong
認定	rh ern d ing
認明    r in bh ing
認為	rh ern uei
認為    l iah z un
認為    r in  ui
認真	rh ern zh ern
認真    d ing z in
認真    r in z in
認知	rh ern zh ii
認證	rh ern zh ng
認識	rh ern sh ii
認識    bh at
誑	k uang
誒	e
誒	s i
誓	sh ii
誕	d an
誕生	d an sh ng
誕生    c ut s i
誘	iou
誚	c iau
語	yu
語言	yu ien
語言    gh i gh en
誠	ch ng
誡	z ie
誣	u
誤	u
誥	g au
誦	s ong
誨	h uei
說	sh uo
說    g ong
說    s ueh
說不定    bh or d ik k ak
說出	sh uo ch u
說到	sh uo d au
說故事    g ong g o
說明	sh uo m ing
說法	sh uo f a
說話	sh uo h ua
說話    g ong  ue
說謊    g ong b eh c at
說道	sh uo d au
誰	sh ei
誰    s iann l ang
誰    s ui
課	k er
課    k or
課程	k er ch ng
誹	f ei
誼	i
誾	in
調	d iau
調	t iau
調整	t iau zh ng
調整    c iau
調查	d iau ch a
調查    d iau z a
諂	ch an
諄	zh un
談	t an
諉	uei
請	c ing
請    c iann
請問	c ing un
請問    c iann m ng
請問    z iorh m ng
請求	c ing c iou
諍	zh ng
諏	z ou
諒	l iang
論	l un
論    l un
論壇	l un t an
論文	l un un
諗	sh ern
諛	yu
諜	d ie
諡	sh ii
諢	h un
諤	er
諦	d i
諧	s ie
諫	z ien
諭	yu
諮	z ii
諮詢	z ii s yun
諱	h uei
諳	an
諴	s ien
諶	ch ern
諷	f ng
諸	zh u
諺	ien
諼	s yuan
諾	n uo
謀	m ou
謁	ie
謂	uei
謄	t ng
謅	z ou
謊	h uang
謎	m i
謐	m i
謔	n yue
謖	s u
謗	b ang
謙	c ien
謚	i
講	z iang
講座	z iang z uo
講話	z iang h ua
講話    g ong  ue
謝	s ie
謝    s ia
謝    z ia
謝謝	s ie s ie
謝謝    d or s ia
謝謝    g am s ia
謠	iau
謦	c ing
謨	m uo
謫	zh er
謬	m iou
謳	ou
謹	z in
謾	m an
譁	h ua
譆	s i
證	zh ng
證券	zh ng c yuan
證實	zh ng sh ii
證據	zh ng z yu
證明	zh ng m ing
證書	zh ng sh u
譎	z yue
譏	z i
識	sh ii
譙	c iau
譚	t an
譜	p u
警	z ing
警告	z ing g au
警察	z ing ch a
警察    g ing c at
警方	z ing f ang
譫	zh an
譬	p i
譯	i
議	i
議員	i yuan
議題	i t i
譴	c ien
護	h u
護士	h u sh ii
護士    h o s u
護照	h u zh au
護理	h u l i
譽	yu
讀	d u
讀    t ak
讀書	d u sh u
讀書    t ak c eh
讀書    t ak z u
讀者	d u zh er
變	b ien
變    b en
變    b inn
變做    b en z or
變化	b ien h ua
變化    b en h ua
變得	b ien d er
變成	b ien ch ng
變成    b en s ing
